,0
113200,"[('Costume Quest 2', 0.248), ('Half-Life 2: Update', 0.239), ('Costume Quest', 0.224), ('Audition Online', 0.141), ('DOOM', 0.14)]"
213670,"[('Pillars of Eternity', 0.229), ('The Park', 0.21), ('Enigmatis 2: The Mists of Ravenwood', 0.157), ('LEGO® Jurassic World', 0.145), ('1001 Spikes', 0.128)]"
105600,"[('Dwarfs!?', 0.242), ('Tree of Life', 0.233), ('Forsaken Isle', 0.226), ('XCOM: Enemy Unknown', 0.224), ('Homefront', 0.204)]"
620,"[('Aperture Tag: The Paint Gun Testing Initiative', 0.191), ('Sven Co-op', 0.171), ('Moon Hunters', 0.157), ('MachineCraft', 0.151), ('Bloodsports.TV', 0.132)]"
317360,"[('Devil May Cry® 4 Special Edition', 0.164), ('Bloody Good Time', 0.141), ('Costume Quest 2', 0.128), ('Post Apocalyptic Mayhem', 0.116), ('Geometry Dash', 0.115)]"
223710,"[('Hektor', 0.158), ('Bloodsports.TV', 0.134), ('Killing Floor 2', 0.114), ('Clandestine', 0.113), ('Killing Floor', 0.113)]"
299360,"[('ORION: Prelude', 0.188), ('Post Apocalyptic Mayhem', 0.159), ('Gaokao.Love.100Days', 0.158), ('Blockstorm', 0.155), ('Medieval Engineers', 0.141)]"
322330,"[('Forsaken Isle', 0.239), ('Terraria', 0.141), ('The Long Dark', 0.138), ('Project Zomboid', 0.133), ('Professional Farmer 2014', 0.133)]"
12100,"[('Grand Theft Auto: Episodes from Liberty City', 0.321), ('Fallout 4', 0.156), ('Grand Theft Auto V', 0.154), ('Resident Evil / biohazard HD REMASTER', 0.145), ('Destination Sol', 0.118)]"
449140,"[('Wings of Prey', 0.133), ('BLOCKADE 3D', 0.123), ('Earth 2160', 0.107), ('Executive Assault', 0.106), ('Aeon Command', 0.104)]"
368730,"[('Monsters Ate My Birthday Cake', 0.125), ('Spooky Cats', 0.12), ('Total War: WARHAMMER', 0.116), ('Krater', 0.106), ('APOX', 0.105)]"
427270,"[('Orcs Must Die! 2', 0.272), ('Orcs Must Die!', 0.171), ('Sven Co-op', 0.156), ('Revenge of the Titans', 0.152), ('Radiant Defense', 0.136)]"
397100,"[('The Fifth Day', 0.174), ('Cubic Castles', 0.16), ('Portal 2', 0.151), ('Crossout', 0.119), ('Blockstorm', 0.118)]"
248570,"[('Zavix Tower', 0.172), ('BeamNG.drive', 0.144), ('Cursed Sight', 0.142), ('White Noise Online', 0.133), ('LogicBots', 0.127)]"
298630,"[('Human: Fall Flat', 0.136), ('Prospekt', 0.128), ('Hero Academy', 0.121), ('Epic Battle Fantasy 4', 0.104), ('Codename CURE', 0.09)]"
376920,"[('Men of War: Assault Squad', 0.1), ('Timberman', 0.096), ('Dead Island Definitive Edition', 0.091), ('Party Jousting', 0.085), ('Panzermadels: Tank Dating Simulator', 0.085)]"
257750,"[('Golf With Your Friends', 0.193), ('You Have 10 Seconds', 0.19), ('Yet Another Zombie Defense', 0.168), ('Risk of Rain', 0.159), ('Codename CURE', 0.156)]"
221910,"[(""The Beginner's Guide"", 0.254), ('Dyscourse', 0.202), ('Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist', 0.15), ('Half Minute Hero: Super Mega Neo Climax Ultimate Boy', 0.14), ('the static speaks my name', 0.14)]"
417860,"[('Dyscourse', 0.197), ('Legends of Callasia', 0.168), ('Actual Sunlight', 0.158), ('Mortal Online', 0.154), ('The Bottom of the Well', 0.135)]"
222880,"[('Metal Drift', 0.22), ('Half-Life Deathmatch: Source', 0.167), ('Nation Red', 0.131), ('Darkwind: War on Wheels', 0.12), ('Never Alone (Kisima Ingitchuna)', 0.116)]"
377160,"[('Auditorium', 0.172), ('Fieldrunners 2', 0.172), ('Grand Theft Auto III', 0.156), ('Pillars of Eternity', 0.129), ('Kingdoms of Amalur: Reckoning™', 0.128)]"
252490,"[('Dev Guy', 0.141), ('Serious Sam: The Random Encounter', 0.107), ('Reign Of Kings', 0.106), ('Orcs Must Die! Unchained', 0.104), ('The Last Federation', 0.104)]"
242920,"[(""Dark Parables: The Exiled Prince Collector's Edition"", 0.139), ('Survivor Squad', 0.108), ('Cities: Skylines', 0.103), ('NEO Scavenger', 0.101), ('Grand Ages: Rome', 0.094)]"
251990,"[('how do you Do It?', 0.118), ('Miscreated', 0.1), ('Reigns', 0.1), ('Half Minute Hero: Super Mega Neo Climax Ultimate Boy', 0.094), ('State of Decay', 0.091)]"
344760,"[('Pendragon Rising', 0.227), ('Carpe Diem', 0.192), ('GRAV', 0.186), ('Fragmented', 0.184), ('Planetbase', 0.176)]"
236430,"[('DARK SOULS™ II: Scholar of the First Sin', 0.233), ('Tormentum - Dark Sorrow', 0.145), ('Demonicon', 0.129), ('STAR WARS™: The Force Unleashed™ II', 0.116), ('Master of Orion', 0.11)]"
219150,"[('Hotline Miami 2: Wrong Number', 0.279), ('FleetCOMM', 0.225), ('Zeno Clash', 0.108), ('Nation Red', 0.088), ('Undead Overlord', 0.083)]"
239820,"[('Mad Games Tycoon', 0.233), ('Evoland', 0.188), ('Game Tycoon 1.5', 0.158), ('Automation - The Car Company Tycoon Game', 0.156), ('Space Hulk Ascension', 0.138)]"
270550,"[('Grey Goo', 0.247), ('Manhunt', 0.24), ('Pixel Survivors', 0.182), ('The Isle', 0.181), ('DayZ', 0.178)]"
274940,"[('Half-Life', 0.121), ('Metal Drift', 0.117), ('Savage Resurrection', 0.114), ('Skara - The Blade Remains', 0.103), ('Omegalodon', 0.099)]"
294100,"[('VoidExpanse', 0.11), ('Transistor', 0.104), ('The Music Machine', 0.097), ('FleetCOMM', 0.093), ('Just Deserts', 0.09)]"
212070,"[('EVE Online', 0.157), ('WAKFU', 0.155), ('Deepworld', 0.151), ('Mass Effect', 0.145), ('Windward', 0.13)]"
264140,"[(""Assassin's Creed Freedom Cry"", 0.228), ('Jolly Rover', 0.224), ('Battle Islands', 0.181), (""Shantae and the Pirate's Curse"", 0.173), ('TY the Tasmanian Tiger 4', 0.156)]"
332800,"[(""Five Nights at Freddy's"", 0.484), (""Five Nights at Freddy's 3"", 0.32), (""Five Nights at Freddy's 4"", 0.272), (""World's Fastest Pizza"", 0.205), ('You Are Not The Hero', 0.096)]"
55230,"[('Saints Row IV', 0.181), ('Saints Row 2', 0.137), ('Space Farmers', 0.136), ('F1 2016', 0.136), ('Warehouse and Logistics Simulator', 0.136)]"
212680,"[('Space Pirates and Zombies', 0.22), ('Hero Siege', 0.197), ('Windward', 0.172), ('Interstellar Rift', 0.17), ('Convoy', 0.156)]"
391540,"[('NEO Scavenger', 0.151), ('Eufloria HD', 0.141), ('Crossout', 0.112), ('Sonic Lost World', 0.112), ('Waking Mars', 0.11)]"
113400,"[('Mortal Online', 0.136), ('WARMODE', 0.135), ('Satellite Reign', 0.132), ('Guns and Robots', 0.129), ('APOX', 0.126)]"
200510,"[('Terraria', 0.224), ('Homefront', 0.192), ('Altitude', 0.137), (""Hamilton's Great Adventure"", 0.123), ('Battlevoid: Harbinger', 0.121)]"
200210,"[('Champions of Regnum', 0.161), ('Famaze', 0.157), ('Crossout', 0.155), ('Viking: Battle for Asgard', 0.149), ('Pixel Puzzles: Japan', 0.146)]"
304050,"[('Space Farmers', 0.252), ('X-Blades', 0.227), ('Hydrophobia: Prophecy', 0.173), ('Croixleur Sigma', 0.154), ('WildStar', 0.117)]"
265610,"[('Super Night Riders', 0.159), ('The Quest', 0.135), ('The Age of Decadence', 0.127), ('Hero Academy', 0.119), ('Labyronia RPG', 0.108)]"
264200,"[('KickBeat Steam Edition', 0.156), ('Crusader Kings II', 0.113), ('Kung Fury: Street Rage', 0.101), ('Verdun', 0.101), ('Real Boxing™', 0.098)]"
210770,"[('Sanctum', 0.27), ('Defense Technica', 0.165), ('Radiant Defense', 0.16), ('Dungeon Defenders', 0.158), ('Unstoppable Gorg', 0.135)]"
351640,"[('Grim Dawn', 0.131), ('Secrets of Grindea', 0.129), ('The Journey Down: Chapter Two', 0.0), ('Villagers and Heroes', 0.0), ('The Old Tree', 0.0)]"
233150,"[('Guns of Icarus Online', 0.151), ('Gimbal', 0.122), ('Airships: Conquer the Skies', 0.12), ('Super Crate Box', 0.094), ('The SKIES', 0.089)]"
346330,"[('Space Farmers', 0.155), ('Natural Selection 2', 0.134), ('You Have 10 Seconds', 0.128), ('Rogue Stormers', 0.127), ('Codename CURE', 0.122)]"
295550,"[(""King's Bounty: The Legend"", 0.162), ('Cubic Castles', 0.151), ('Arena Wars 2', 0.126), ('6180 the moon', 0.124), ('King’s Bounty: Legions', 0.121)]"
250180,"[('METAL SLUG DEFENSE', 0.271), ('War, the Game', 0.186), ('Reflex', 0.147), ('Chaos Domain', 0.115), ('One More Dungeon', 0.112)]"
320760,"[('Binary Domain', 0.193), ('Fading Hearts', 0.164), ('One Manga Day', 0.155), ('Hatoful Boyfriend', 0.148), ('Monster Loves You!', 0.117)]"
233720,"[('The Withering', 0.129), ('Ampu-Tea', 0.117), ('Blood Bowl 2', 0.072), ('Overlord: Fellowship of Evil', 0.065), ('Faeria', 0.065)]"
333950,"[('Chivalry: Medieval Warfare', 0.207), ('Stronghold HD', 0.161), ('VVVVVV', 0.161), ('Block N Load', 0.141), ('Castle', 0.133)]"
107410,"[('Counter-Strike: Condition Zero', 0.204), ('Squad', 0.146), ('Naval Warfare', 0.124), ('Counter-Strike Nexon: Zombies', 0.118), (""Shadowrun: Dragonfall - Director's Cut"", 0.116)]"
299740,"[('Krater', 0.278), ('Nuclear Throne', 0.26), ('The Fifth Day', 0.212), ('EPOCH', 0.205), ('ENSLAVED™: Odyssey to the West™ Premium Edition', 0.203)]"
209870,"[('DeadCore', 0.099), ('Nuclear Dawn', 0.099), ('Binary Domain', 0.098), ('Besiege', 0.097), ('Ricochet', 0.097)]"
322170,"[('Electronic Super Joy', 0.207), ('20XX', 0.2), ('Beyond Gravity', 0.178), ('Robocraft', 0.174), ('MX vs. ATV Supercross Encore', 0.173)]"
362890,"[('Half-Life 2: Episode One', 0.394), ('Half-Life Deathmatch: Source', 0.362), ('The Way of Life Free Edition', 0.335), ('Half-Life 2: Update', 0.274), ('Half-Life: Source', 0.262)]"
346110,"[('Savage Lands', 0.18), ('Forsaken Isle', 0.172), ('NEO Scavenger', 0.159), ('Vertical Drop Heroes HD', 0.158), ('Fragmented', 0.156)]"
266430,"[('Villagers and Heroes', 0.13), ('Stellar 2D', 0.119), ('Space Hulk Ascension', 0.115), ('Zavix Tower', 0.105), ('Crown and Council', 0.102)]"
316010,"[('Cards and Castles', 0.228), ('Faeria', 0.214), ('Linea, the Game', 0.178), ('Hand of Fate', 0.172), ('Card Hunter', 0.151)]"
249570,"[('8BitMMO', 0.156), ('Stronghold Kingdoms', 0.142), ('Nyctophilia', 0.141), ('DLC Quest', 0.125), ('Gone Home', 0.116)]"
240,"[('Counter-Strike: Global Offensive', 0.387), ('Counter-Strike Nexon: Zombies', 0.373), ('Counter-Strike: Condition Zero', 0.34), ('Half-Life: Source', 0.222), ('Half-Life Deathmatch: Source', 0.209)]"
298050,"[('The Journey Down: Chapter Two', 0.14), ('Alien Breed 2: Assault', 0.132), ('liteCam Game: 100 FPS Game Capture', 0.119), ('METAL SLUG DEFENSE', 0.114), ('DARK SOULS™ II', 0.11)]"
301520,"[('Geometry Dash', 0.174), ('Warframe', 0.173), ('Skara - The Blade Remains', 0.157), ('Project Nimbus', 0.144), ('Hippocampal: The White Sofa', 0.137)]"
218230,"[('Wings of Prey', 0.181), ('Pandora: First Contact', 0.151), ('Orbital Gear', 0.143), ('APOX', 0.14), ('Victory At Sea', 0.133)]"
291550,"[('Spellweaver', 0.15), ('Killing Floor', 0.147), ('Quintet', 0.128), ('Warframe', 0.121), ('Super Switch', 0.116)]"
206420,"[('Saints Row 2', 0.315), ('Saints Row: The Third', 0.181), ('Divekick', 0.147), (""Saint Seiya: Soldiers' Soul"", 0.132), ('X-COM: Enforcer', 0.109)]"
454890,"[('Interstellar Rift', 0.147), (""Galagan's Island: Reprymian Rising"", 0.13), ('Hyperspace Invaders II: Pixel Edition', 0.118), ('Critical Mass', 0.116), ('FORCED SHOWDOWN', 0.112)]"
273350,"[('Vitrum', 0.174), ('Train Fever', 0.139), ('Skullgirls', 0.116), ('Infested Planet', 0.113), ('Borderlands', 0.108)]"
370480,"[('Retro/Grade', 0.304), ('Sora', 0.254), ('Humanity Asset', 0.206), ('Survival: Postapocalypse Now', 0.174), ('Pixel Star', 0.174)]"
266210,"[('One More Dungeon', 0.176), ('Euro Truck Simulator 2', 0.173), ('Gunman Clive', 0.14), ('Terra Incognita ~ Chapter One: The Descendant', 0.13), ('Magic: The Gathering - Duels of the Planeswalkers 2013', 0.129)]"
287700,"[('METAL GEAR SOLID V: GROUND ZEROES', 0.345), ('METAL GEAR RISING: REVENGEANCE', 0.248), ('Slain: Back from Hell', 0.161), ('METAL SLUG DEFENSE', 0.128), ('OutDrive', 0.117)]"
310950,"[('Ember Strike', 0.333), ('Duelyst', 0.199), ('Bloons TD Battles', 0.184), ('Cards and Castles', 0.174), ('Nyctophilia', 0.16)]"
222420,"[('THE KING OF FIGHTERS 2002 UNLIMITED MATCH', 0.516), ('THE KING OF FIGHTERS XIII STEAM EDITION', 0.166), ('FINAL FANTASY III', 0.144), ('FINAL FANTASY VII', 0.134), ('FINAL FANTASY V', 0.095)]"
271590,"[('Grand Theft Auto: Episodes from Liberty City', 0.247), ('Grand Theft Auto III', 0.154), ('Crusader Kings II', 0.123), ('Clicker Heroes', 0.121), ('Scribblenauts Unlimited', 0.117)]"
222440,"[(""THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION"", 0.516), ('Serious Sam Classic: The Second Encounter', 0.116), ('The Walking Dead', 0.095), ('Worms Revolution', 0.08), ('METAL SLUG 3', 0.065)]"
269210,"[('Risk of Rain', 0.209), ('Vertical Drop Heroes HD', 0.209), ('Sacred 3', 0.208), ('Space Pirates and Zombies', 0.197), ('FTL: Faster Than Light', 0.197)]"
317470,"[('LEGO® Worlds', 0.186), ('Guncraft', 0.172), ('MachineCraft', 0.16), ('Stronghold HD', 0.151), ('Royal Quest', 0.151)]"
47410,"[('Stronghold Crusader HD', 0.233), ('Stronghold Crusader 2', 0.193), ('8BitMMO', 0.162), ('Stronghold HD', 0.154), ('Beyond Sol', 0.143)]"
365450,"[('Hacker Evolution', 0.122), ('Invisible Apartment', 0.102), ('Controller Companion', 0.1), ('Clandestine', 0.096), ('Dead Pixels', 0.095)]"
245620,"[('Victoria II', 0.17), ('X-COM: Enforcer', 0.131), ('Tropico 4', 0.119), ('Geometry Wars: Retro Evolved', 0.117), ('Counter-Strike: Source', 0.109)]"
70,"[('Half-Life 2', 0.209), ('Counter-Strike: Source', 0.187), ('Torchlight', 0.159), ('Sven Co-op', 0.151), ('Wild Animal Racing', 0.146)]"
274980,"[('Stop Online - Battle of Words', 0.252), ('Saints Row 2', 0.147), ('CubeZ', 0.121), ('Mortal Online', 0.107), ('Line of Sight', 0.102)]"
400,"[('Portal Stories: Mel', 0.317), ('Rexaura', 0.264), ('Aperture Tag: The Paint Gun Testing Initiative', 0.211), ('Thinking with Time Machine', 0.206), ('Dungeon Defenders', 0.153)]"
237310,"[('Axiom Verge', 0.19), ('Intrusion 2', 0.186), ('Eldritch', 0.166), ('Warframe', 0.162), ('Dragon Saga', 0.152)]"
230410,"[('ShellShock Live', 0.227), ('Post Apocalyptic Mayhem', 0.183), ('Eldevin', 0.177), ('SolForge', 0.173), ('Robocraft', 0.173)]"
231430,"[('Executive Assault', 0.153), ('Borderlands 2', 0.138), ('Gunslingers', 0.137), ('Grey Goo', 0.121), ('Miracle Fly', 0.112)]"
234190,"[('Excubitor', 0.094), ('Wolcen: Lords of Mayhem', 0.091), ('Ultimate General: Gettysburg', 0.089), ('Fingerbones', 0.086), ('Unturned', 0.085)]"
33900,"[('Squad', 0.107), (""Pajama Sam 2: Thunder and Lightning Aren't So Frightening"", 0.094), ('X-Plane 10 Global - 64 Bit', 0.093), ('Drift Streets Japan', 0.091), ('You Have 10 Seconds 2', 0.089)]"
302830,"[('Genesis Online', 0.427), ('APOX', 0.2), ('Windward', 0.152), ('Warface', 0.139), ('Cubic Castles', 0.13)]"
203750,"[('Tokyo School Life', 0.193), ('Grand Ages: Rome', 0.178), ('Westerado: Double Barreled', 0.167), ('Ricochet', 0.159), ('Party of Sin', 0.148)]"
355180,"[('Zombie Kill of the Week - Reborn', 0.263), ('Murder Miners', 0.214), ('Sniper Elite: Nazi Zombie Army', 0.185), ('Left 4 Dead 2', 0.178), ('Nation Red', 0.176)]"
275850,"[('Forward to the Sky', 0.237), ('One More Dungeon', 0.228), ('Cosmonautica', 0.227), ('3089 -- Futuristic Action RPG', 0.219), ('Windward', 0.194)]"
400800,"[('fault - milestone two side:above', 0.121), ('Snooker Nation Championship', 0.085), ('World of Soccer online', 0.075), ('Tribes: Ascend', 0.073), ('Commander Cool 2', 0.071)]"
433340,"[('Krater', 0.139), ('Intrusion 2', 0.106), ('Cargo Commander', 0.101), ('Batman - The Telltale Series', 0.086), (""Helen's Mysterious Castle"", 0.085)]"
242760,"[('I Am Alive', 0.201), ('The Isle', 0.177), ('Yet Another Zombie Defense', 0.175), ('Manhunt', 0.15), ('Miscreated', 0.139)]"
352460,"[('Manhunt', 0.148), ('ORION: Prelude', 0.141), ('Left 4 Dead 2', 0.132), ('Yet Another Zombie Defense', 0.114), ('Unturned', 0.113)]"
322920,"[('Dinosaur Hunt', 0.235), ('ORION: Prelude', 0.147), ('Primal Carnage: Extinction', 0.13), ('Space Pirates and Zombies', 0.112), (""Iggy's Egg Adventure"", 0.111)]"
297130,"[('Eador. Masters of the Broken World', 0.147), ('Dragons and Titans', 0.11), ('Planetary Annihilation: TITANS', 0.109), ('HITMAN™', 0.103), ('Bad Bots', 0.088)]"
397570,"[('Super Night Riders', 0.252), ('Really Big Sky', 0.154), ('Gamma Bros 1.5', 0.146), ('HELLDIVERS™', 0.142), ('Starward Rogue', 0.14)]"
278360,"[('Quantum Conundrum', 0.137), ('Hook', 0.132), ('PARTICLE MACE', 0.118), ('ArcheAge', 0.1), ('Super Win the Game', 0.1)]"
441790,"[('Forsaken Isle', 0.291), ('GRAV', 0.238), ('Reign Of Kings', 0.184), ('Grey Goo', 0.172), ('Crashlands', 0.163)]"
265750,"[('Knight Online', 0.207), ('Gunslingers', 0.17), ('Brick-Force', 0.159), ('Crossout', 0.148), ('Ember Strike', 0.14)]"
233110,"[('Sanctum', 0.322), ('Revenge of the Titans', 0.32), ('Fieldrunners', 0.248), ('ReignMaker', 0.246), ('iBomber Defense', 0.214)]"
322910,"[('Scourge: Outbreak', 0.155), ('Godus Wars', 0.147), ('Space Hulk', 0.145), ('Swords and Soldiers HD', 0.137), ('Warhammer 40,000: Kill Team', 0.135)]"
276340,"[('Waveform', 0.135), ('Sniper Elite V2', 0.105), ('Epistory - Typing Chronicles', 0.092), ('Season of 12 Colors', 0.091), ('Urban Trial Freestyle', 0.074)]"
448530,"[(""Don't Die Dateless, Dummy!"", 0.167), ('Castle', 0.125), ('A Bird Story', 0.124), ('Just Cause 2', 0.119), ('DETOUR', 0.118)]"
304410,"[('Hexcells', 0.933), ('Hexcells Plus', 0.862), ('Altitude', 0.519), ('HuniePop', 0.21), ('Picross Touch', 0.185)]"
274920,"[('Undertale', 0.098), ('Bloody Good Time', 0.081), ('APOX', 0.078), ('Kerbal Space Program', 0.076), ('Velocibox', 0.073)]"
219890,"[('Terraria', 0.141), ('Tree of Life', 0.114), ('The Bridge', 0.111), ('Survival: Postapocalypse Now', 0.082), ('Sky Valley', 0.081)]"
223510,"[('The Inner World', 0.144), ('Pathologic Classic HD', 0.13), ('Only If', 0.124), ('Codename CURE', 0.119), ('Brothers - A Tale of Two Sons', 0.117)]"
268750,"[('Risk of Rain', 0.249), ('Runers', 0.209), ('Death Skid Marks', 0.163), ('Vertical Drop Heroes HD', 0.162), ('CHKN', 0.144)]"
360870,"[('Revenge of the Titans', 0.153), ('Sepia Tears', 0.128), ('FlatOut: Ultimate Carnage', 0.124), ('Borderlands 2', 0.124), ('Hydrophobia: Prophecy', 0.123)]"
